1649;907;8;11
1466;853;13;27
1;2583;84;334
1;2500;66;86
252;2579;94;242
229;2673;23;120
347;2792;61;62
406;2837;80;37
274;2486;72;94
296;2457;50;30
337;2409;46;49
353;2362;48;48
390;2242;65;121
422;2222;64;20
461;2118;26;22
391;2081;77;38
353;2041;38;50
328;2013;26;33
300;1975;30;45
318;1890;40;85
354;1871;27;20
370;1848;33;24
390;1745;34;104
405;1733;23;13
428;1715;55;27
406;1574;81;25
355;1530;50;50
336;1494;30;30
312;1454;24;50
323;1420;20;35
342;1370;57;54
370;1336;42;34
380;1305;46;32
391;1283;95;23
1;2281;16;45
16;2265;16;45
33;2250;40;45
71;2212;99;20
101;2161;50;50
111;2089;30;73
51;2058;52;41
40;1998;29;35
73;1949;97;27
120;1873;35;75
120;1819;22;54
130;1767;40;40
118;1657;37;98
90;1640;24;21
67;1616;24;25
40;1508;36;108
0;1500;38;8
84;2659;21;124
471;1700;16;16
461;1271;23;12
500;1085;740;6
500;1190;880;6
1240;1050;7;35
1235;971;117;37
1372;947;68;23
1438;871;28;79
1460;736;31;103
1436;663;34;74
1416;634;37;28
1416;617;16;14
1411;601;17;11
1347;575;73;23
1329;535;21;37
1304;510;32;20
1258;459;41;46
1305;497;17;9
1638;994;107;159
1622;1010;13;98
1646;920;20;60
1661;875;12;40
1670;853;16;22
1682;810;22;42
1694;789;20;21
1715;702;24;83
1731;679;16;20
1657;508;93;54
1623;494;30;45
1574;441;50;40
1590;400;30;35
1609;335;26;65
1249;3;9;918
1253;0;367;5
1620;3;9;326
1748;556;4;134
1;2999;485;4
0;1133;5;1869
484;1201;5;1869
1356;1201;393;10
